'2017-09-29T04.28.10' 24.937 C, 76.8866 F
'2017-09-29T04.28.12' 24.937 C, 76.8866 F
'2017-09-29T04.28.14' 24.937 C, 76.8866 F
'2017-09-29T04.28.16' 24.937 C, 76.8866 F
'2017-09-29T04.28.18' 24.875 C, 76.775 F
'2017-09-29T04.28.20' 24.875 C, 76.775 F
'2017-09-29T04.28.22' 24.875 C, 76.775 F
'2017-09-29T04.28.23' 24.875 C, 76.775 F
'2017-09-29T04.28.25' 24.812 C, 76.6616 F
'2017-09-29T04.28.27' 24.812 C, 76.6616 F
'2017-09-29T04.28.29' 24.812 C, 76.6616 F
'2017-09-29T04.28.31' 24.812 C, 76.6616 F
'2017-09-29T04.28.33' 24.75 C, 76.55 F
'2017-09-29T04.28.35' 24.75 C, 76.55 F
'2017-09-29T04.28.37' 24.75 C, 76.55 F
'2017-09-29T04.28.39' 24.75 C, 76.55 F
'2017-09-29T04.28.41' 24.75 C, 76.55 F
'2017-09-29T04.28.43' 24.687 C, 76.4366 F
'2017-09-29T04.28.45' 24.687 C, 76.4366 F
'2017-09-29T04.28.46' 24.687 C, 76.4366 F
'2017-09-29T04.28.48' 24.687 C, 76.4366 F
'2017-09-29T04.28.50' 24.687 C, 76.4366 F
'2017-09-29T04.28.52' 24.625 C, 76.325 F
'2017-09-29T04.28.54' 24.625 C, 76.325 F
'2017-09-29T04.28.56' 24.625 C, 76.325 F
'2017-09-29T04.28.58' 24.625 C, 76.325 F
'2017-09-29T04.29.00' 24.625 C, 76.325 F
'2017-09-29T04.29.02' 24.562 C, 76.2116 F
'2017-09-29T04.29.04' 24.562 C, 76.2116 F
'2017-09-29T04.29.06' 24.562 C, 76.2116 F
'2017-09-29T04.29.08' 24.562 C, 76.2116 F
'2017-09-29T04.29.10' 24.562 C, 76.2116 F
'2017-09-29T04.29.11' 24.5 C, 76.1 F
'2017-09-29T04.29.13' 24.5 C, 76.1 F
'2017-09-29T04.29.15' 24.5 C, 76.1 F
'2017-09-29T04.29.17' 24.5 C, 76.1 F
'2017-09-29T04.29.19' 24.5 C, 76.1 F
'2017-09-29T04.29.21' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.23' 24.375 C, 75.875 F
'2017-09-29T04.29.25' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.27' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.29' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.31' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.33' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.34' 24.437 C, 75.98660000000001 F
'2017-09-29T04.29.36' 24.375 C, 75.875 F
'2017-09-29T04.29.38' 24.375 C, 75.875 F
'2017-09-29T04.29.40' 24.375 C, 75.875 F
'2017-09-29T04.29.42' 24.375 C, 75.875 F
'2017-09-29T04.29.44' 24.375 C, 75.875 F
'2017-09-29T04.29.46' 23.0 C, 73.4 F
'2017-09-29T04.29.48' 24.375 C, 75.875 F
'2017-09-29T04.29.50' 24.312 C, 75.7616 F
'2017-09-29T04.29.52' 24.312 C, 75.7616 F
'2017-09-29T04.29.54' 24.312 C, 75.7616 F
'2017-09-29T04.29.56' 24.312 C, 75.7616 F
'2017-09-29T04.29.58' 24.312 C, 75.7616 F
'2017-09-29T04.29.59' 24.312 C, 75.7616 F
'2017-09-29T04.30.01' 24.312 C, 75.7616 F
'2017-09-29T04.30.03' 24.25 C, 75.65 F
'2017-09-29T04.30.05' 24.312 C, 75.7616 F
'2017-09-29T04.30.07' 24.25 C, 75.65 F
'2017-09-29T04.30.09' 24.25 C, 75.65 F
'2017-09-29T04.30.11' 24.25 C, 75.65 F
'2017-09-29T04.30.13' 24.25 C, 75.65 F
'2017-09-29T04.30.15' 24.25 C, 75.65 F
'2017-09-29T04.30.17' 24.25 C, 75.65 F
'2017-09-29T04.30.19' 24.187 C, 75.5366 F
'2017-09-29T04.30.21' 24.187 C, 75.5366 F
'2017-09-29T04.30.22' 24.187 C, 75.5366 F
'2017-09-29T04.30.24' 24.187 C, 75.5366 F
'2017-09-29T04.30.26' 24.187 C, 75.5366 F
'2017-09-29T04.30.28' 24.187 C, 75.5366 F
'2017-09-29T04.30.30' 24.187 C, 75.5366 F
'2017-09-29T04.30.32' 24.187 C, 75.5366 F
'2017-09-29T04.30.34' 24.187 C, 75.5366 F
'2017-09-29T04.30.36' 24.187 C, 75.5366 F
'2017-09-29T04.30.38' 24.187 C, 75.5366 F
'2017-09-29T04.30.40' 24.125 C, 75.425 F
'2017-09-29T04.30.42' 24.125 C, 75.425 F
'2017-09-29T04.30.44' 24.125 C, 75.425 F
'2017-09-29T04.30.46' 24.125 C, 75.425 F
'2017-09-29T04.30.47' 24.125 C, 75.425 F
'2017-09-29T04.30.49' 24.125 C, 75.425 F
'2017-09-29T04.30.51' 24.125 C, 75.425 F
'2017-09-29T04.30.53' 24.125 C, 75.425 F
'2017-09-29T04.30.55' 24.125 C, 75.425 F
'2017-09-29T04.30.57' 24.062 C, 75.3116 F
'2017-09-29T04.30.59' 24.062 C, 75.3116 F
'2017-09-29T04.31.01' 24.062 C, 75.3116 F
'2017-09-29T04.31.03' 24.062 C, 75.3116 F
'2017-09-29T04.31.05' 24.062 C, 75.3116 F
'2017-09-29T04.31.07' 24.062 C, 75.3116 F
'2017-09-29T04.31.09' 24.0 C, 75.2 F
'2017-09-29T04.31.10' 24.062 C, 75.3116 F
'2017-09-29T04.31.12' 24.062 C, 75.3116 F
'2017-09-29T04.31.14' 23.812 C, 74.86160000000001 F
'2017-09-29T04.31.16' 24.0 C, 75.2 F
'2017-09-29T04.31.18' 24.0 C, 75.2 F
'2017-09-29T04.31.20' 24.0 C, 75.2 F
'2017-09-29T04.31.22' 24.0 C, 75.2 F
'2017-09-29T04.31.24' 24.0 C, 75.2 F
'2017-09-29T04.31.26' 24.0 C, 75.2 F
'2017-09-29T04.31.28' 24.0 C, 75.2 F
'2017-09-29T04.31.30' 24.0 C, 75.2 F
'2017-09-29T04.31.32' 24.0 C, 75.2 F
'2017-09-29T04.31.34' 24.0 C, 75.2 F
'2017-09-29T04.31.35' 24.0 C, 75.2 F
'2017-09-29T04.31.37' 24.0 C, 75.2 F
'2017-09-29T04.31.39' 23.937 C, 75.0866 F
'2017-09-29T04.31.41' 23.937 C, 75.0866 F
'2017-09-29T04.31.43' 23.937 C, 75.0866 F
'2017-09-29T04.31.45' 23.937 C, 75.0866 F
'2017-09-29T04.31.47' 23.937 C, 75.0866 F
'2017-09-29T04.31.49' 23.937 C, 75.0866 F
'2017-09-29T04.31.51' 23.937 C, 75.0866 F
'2017-09-29T04.31.53' 23.937 C, 75.0866 F
'2017-09-29T04.31.55' 23.937 C, 75.0866 F
